expt,subjectID,site,cueValidity,seen,pCorrectSeen,pCorrectSeenFeature
1,S0002,0,-1,0,0.505681818181818,0.52020202020202
1,S0002,0,0,0,0.530612244897959,0.542168674698795
1,S0002,0,1,0,0.502415458937198,0.550308008213552
1,S0002,0,-1,1,0.81875,0.847826086956522
1,S0002,0,0,1,0.91005291005291,0.941176470588235
1,S0002,0,1,1,0.929292929292929,0.944337811900192
1,S0004,0,-1,0,0.524861878453039,0.588932806324111
1,S0004,0,0,0,0.548076923076923,0.676646706586826
1,S0004,0,1,0,0.46875,0.672654690618762
1,S0004,0,-1,1,0.838709677419355,0.91566265060241
1,S0004,0,0,1,0.948275862068966,0.970414201183432
1,S0004,0,1,1,0.94281914893617,0.970414201183432
1,S0005,0,-1,0,0.538461538461538,0.58695652173913
1,S0005,0,0,0,0.433333333333333,0.370967741935484
1,S0005,0,1,0,0.575,0.554878048780488
1,S0005,0,-1,1,0.787878787878788,0.823770491803279
1,S0005,0,0,1,0.820261437908497,0.87956204379562
1,S0005,0,1,1,0.847107438016529,0.890995260663507
1,S0006,0,-1,0,0.497777777777778,0.566343042071197
1,S0006,0,0,0,0.52991452991453,0.72962962962963
1,S0006,0,1,0,0.526548672566372,0.818930041152263
1,S0006,0,-1,1,0.790909090909091,0.923076923076923
1,S0006,0,0,1,0.912844036697248,0.984615384615385
1,S0006,0,1,1,0.963870967741935,0.988970588235294
1,S0007,0,-1,0,0.5,0.644268774703557
1,S0007,0,0,0,0.515625,0.687830687830688
1,S0007,0,1,0,0.532051282051282,0.737903225806452
1,S0007,0,-1,1,0.808943089430894,0.975903614457831
1,S0007,0,0,1,0.893382352941177,0.993197278911565
1,S0007,0,1,1,0.92018779342723,0.978515625
1,S0008,0,-1,0,0.507246376811594,0.591489361702128
1,S0008,0,0,0,0.53125,0.670212765957447
1,S0008,0,1,0,0.508547008547009,0.671111111111111
1,S0008,0,-1,1,0.813131313131313,0.910891089108911
1,S0008,0,0,1,0.907949790794979,0.965986394557823
1,S0008,0,1,1,0.936031331592689,0.970909090909091
1,S0010,0,-1,0,0.490740740740741,0.663522012578616
1,S0010,0,0,0,0.5,0.773462783171521
1,S0010,0,1,0,0.545801526717557,0.794871794871795
1,S0010,0,-1,1,0.767543859649123,0.944444444444444
1,S0010,0,0,1,0.884920634920635,0.962962962962963
1,S0010,0,1,1,0.902144772117963,0.927927927927928
1,S0011,0,-1,0,0.476190476190476,0.640350877192982
1,S0011,0,0,0,0.657894736842105,0.666666666666667
1,S0011,0,1,0,0.456647398843931,0.6941431670282
1,S0011,0,-1,1,0.775510204081633,0.944444444444444
1,S0011,0,0,1,0.832214765100671,0.958333333333333
1,S0011,0,1,1,0.916867469879518,0.959409594095941
1,S0012,0,-1,0,0.491803278688525,0.578947368421053
1,S0012,0,0,0,0.584269662921348,0.634730538922156
1,S0012,0,1,0,0.526086956521739,0.670644391408115
1,S0012,0,-1,1,0.677570093457944,0.696629213483146
1,S0012,0,0,1,0.866396761133603,0.946745562130177
1,S0012,0,1,1,0.951156812339332,0.98471986417657
1,S0013,0,-1,0,0.431578947368421,0.55
1,S0013,0,0,0,0.512820512820513,0.62987012987013
1,S0013,0,1,0,0.503597122302158,0.642561983471074
1,S0013,0,-1,1,0.780082987551867,0.931034482758621
1,S0013,0,0,1,0.887596899224806,0.945054945054945
1,S0013,0,1,1,0.926027397260274,0.963740458015267
1,S0014,0,-1,0,0.478723404255319,0.479166666666667
1,S0014,0,0,0,0.488095238095238,0.505747126436782
1,S0014,0,1,0,0.538116591928251,0.565737051792829
1,S0014,0,-1,1,0.834710743801653,0.8375
1,S0014,0,0,1,0.924603174603175,0.923694779116466
1,S0014,0,1,1,0.924648786717752,0.929801324503311
1,S0015,0,-1,0,0.492537313432836,0.703389830508475
1,S0015,0,0,0,0.596774193548387,0.751351351351351
1,S0015,0,1,0,0.594936708860759,0.82897384305835
1,S0015,0,-1,1,0.843866171003718,0.94
1,S0015,0,0,1,0.912408759124088,0.980132450331126
1,S0015,0,1,1,0.969411764705882,0.990215264187867
1,S0016,0,-1,0,0.50314465408805,0.532663316582915
1,S0016,0,0,0,0.484848484848485,0.540983606557377
1,S0016,0,1,0,0.51310861423221,0.588555858310627
1,S0016,0,-1,1,0.819209039548023,0.868613138686131
1,S0016,0,0,1,0.936708860759494,0.953271028037383
1,S0016,0,1,1,0.959514170040486,0.985959438377535
1,S0017,0,-1,0,0.443181818181818,0.6015625
1,S0017,0,0,0,0.591836734693878,0.657718120805369
1,S0017,0,1,0,0.5,0.629969418960245
1,S0017,0,-1,1,0.75609756097561,0.91025641025641
1,S0017,0,0,1,0.860627177700348,0.951871657754011
1,S0017,0,1,1,0.938106796116505,0.970457902511078
1,S0018,0,-1,0,0.465909090909091,0.460227272727273
1,S0018,0,0,0,0.513513513513513,0.549295774647887
1,S0018,0,1,0,0.512437810945274,0.52059925093633
1,S0018,0,-1,1,0.766129032258065,0.9375
1,S0018,0,0,1,0.858778625954199,0.95360824742268
1,S0018,0,1,1,0.942998760842627,0.978407557354926
1,001,1,-1,0,0.476190476190476,0.641921397379913
1,001,1,0,0,0.515151515151515,0.655367231638418
1,001,1,1,0,0.514056224899598,0.676470588235294
1,001,1,-1,1,0.821739130434783,0.867924528301887
1,001,1,0,1,0.869888475836431,0.962025316455696
1,001,1,1,1,0.898013245033113,0.952173913043478
1,002,1,-1,0,0.515151515151515,0.517766497461929
1,002,1,0,0,0.454545454545455,0.51063829787234
1,002,1,1,0,0.502958579881657,0.5
1,002,1,-1,1,0.555555555555556,0.561151079136691
1,002,1,0,1,0.822222222222222,0.84297520661157
1,002,1,1,1,0.98331346841478,0.985645933014354
1,005,1,-1,0,0.457943925233645,0.547717842323652
1,005,1,0,0,0.525,0.610810810810811
1,005,1,1,0,0.544910179640719,0.619607843137255
1,005,1,-1,1,0.733624454148472,0.894736842105263
1,005,1,0,1,0.83203125,0.940397350993378
1,005,1,1,1,0.909495548961424,0.961847389558233
1,006,1,-1,0,0.451612903225806,0.546125461254613
1,006,1,0,0,0.468468468468468,0.625
1,006,1,1,0,0.494736842105263,0.667752442996743
1,006,1,-1,1,0.762430939226519,0.923076923076923
1,006,1,0,1,0.831111111111111,0.927083333333333
1,006,1,1,1,0.89073305670816,0.951776649746193
1,017,1,-1,0,0.6,0.703947368421053
1,017,1,0,0,0.636363636363636,0.758928571428571
1,017,1,1,0,0.842105263157895,0.884244372990354
1,017,1,-1,1,0.793706293706294,0.815217391304348
1,017,1,0,1,0.904290429042904,0.9375
1,017,1,1,1,0.956008583690987,0.975609756097561
1,019,1,-1,0,0.487394957983193,0.558441558441558
1,019,1,0,0,0.536585365853659,0.569832402234637
1,019,1,1,0,0.461783439490446,0.571171171171171
1,019,1,-1,1,0.764976958525346,0.904761904761905
1,019,1,0,1,0.803149606299213,0.929936305732484
1,019,1,1,1,0.877521613832853,0.964679911699779
1,020,1,-1,0,0.652173913043478,0.516129032258065
1,020,1,0,0,0.5,0.5
1,020,1,1,0,0.517857142857143,0.559633027522936
1,020,1,-1,1,0.642023346303502,0.705882352941177
1,020,1,0,1,0.806201550387597,0.846491228070175
1,020,1,1,1,0.960459183673469,0.986320109439125
1,021,1,-1,0,0.481927710843373,0.645631067961165
1,021,1,0,0,0.458333333333333,0.643356643356643
1,021,1,1,0,0.580357142857143,0.712846347607053
1,021,1,-1,1,0.818181818181818,0.876923076923077
1,021,1,0,1,0.928030303030303,0.963730569948187
1,021,1,1,1,0.959183673469388,0.980360065466448
1,022,1,-1,0,0.521276595744681,0.635964912280702
1,022,1,0,0,0.464788732394366,0.6
1,022,1,1,0,0.5,0.692160611854684
1,022,1,-1,1,0.826446280991736,0.962962962962963
1,022,1,0,1,0.852830188679245,0.94578313253012
1,022,1,1,1,0.949061662198391,0.983505154639175
1,023,1,-1,0,0.567901234567901,0.732075471698113
1,023,1,0,0,0.5,0.669724770642202
1,023,1,1,0,0.505813953488372,0.73
1,023,1,-1,1,0.831372549019608,0.901408450704225
1,023,1,0,1,0.84469696969697,0.957627118644068
1,023,1,1,1,0.915071770334928,0.958661417322835
1,024,1,-1,0,0.510204081632653,0.616326530612245
1,024,1,0,0,0.494505494505495,0.636942675159236
1,024,1,1,0,0.493975903614458,0.629032258064516
1,024,1,-1,1,0.846560846560847,0.923076923076923
1,024,1,0,1,0.930612244897959,0.966480446927374
1,024,1,1,1,0.948931116389549,0.982808022922636
1,025,1,-1,0,0.564356435643564,0.573170731707317
1,025,1,0,0,0.523809523809524,0.527397260273973
1,025,1,1,0,0.496153846153846,0.521303258145363
1,025,1,-1,1,0.765957446808511,0.831395348837209
1,025,1,0,1,0.801587301587302,0.889473684210526
1,025,1,1,1,0.832887700534759,0.893267651888342
1,026,1,-1,0,0.608108108108108,0.621761658031088
1,026,1,0,0,0.712765957446808,0.654450261780105
1,026,1,1,0,0.676300578034682,0.626760563380282
1,026,1,-1,1,0.635922330097087,0.64367816091954
1,026,1,0,1,0.67741935483871,0.764044943820225
1,026,1,1,1,0.710526315789474,0.841911764705882
1,027,1,-1,0,0.515723270440252,0.577092511013216
1,027,1,0,0,0.507352941176471,0.58659217877095
1,027,1,1,0,0.492836676217765,0.612033195020747
1,027,1,-1,1,0.836158192090395,0.908256880733945
1,027,1,0,1,0.95,0.980891719745223
1,027,1,1,1,0.966616084977238,0.977186311787072
1,039,1,-1,0,0.493975903614458,0.572327044025157
1,039,1,0,0,0.566666666666667,0.675675675675676
1,039,1,1,0,0.473372781065089,0.568093385214008
1,039,1,-1,1,0.869565217391304,0.96045197740113
1,039,1,0,1,0.927536231884058,0.955555555555556
1,039,1,1,1,0.942789034564958,0.965379494007989
2,S0021,0,-1,0,0.523560209424084,0.550200803212851
2,S0021,0,0,0,0.53125,0.61244019138756
2,S0021,0,1,0,0.47588424437299,0.656063618290258
2,S0021,0,-1,1,0.737931034482759,0.804597701149425
2,S0021,0,0,1,0.914772727272727,0.929133858267717
2,S0021,0,1,1,0.981348637015782,0.994059405940594
2,S0049,0,-1,0,0.47741935483871,0.493562231759657
2,S0049,0,0,0,0.515789473684211,0.651428571428571
2,S0049,0,1,0,0.549488054607508,0.650900900900901
2,S0049,0,-1,1,0.721518987341772,0.817610062893082
2,S0049,0,0,1,0.919191919191919,0.95852534562212
2,S0049,0,1,1,0.969387755102041,0.99452804377565
2,S0093,0,-1,0,0.521739130434783,0.522321428571429
2,S0093,0,0,0,0.482014388489209,0.482954545454545
2,S0093,0,1,0,0.489864864864865,0.573232323232323
2,S0093,0,-1,1,0.605263157894737,0.633928571428571
2,S0093,0,0,1,0.756345177664975,0.81875
2,S0093,0,1,1,0.914325842696629,0.929738562091503
2,S0094,0,-1,0,0.492227979274611,0.572327044025157
2,S0094,0,0,0,0.46551724137931,0.65587044534413
2,S0094,0,1,0,0.441717791411043,0.806273062730627
2,S0094,0,-1,1,0.72027972027972,0.888888888888889
2,S0094,0,0,1,0.872727272727273,0.943820224719101
2,S0094,0,1,1,0.979881656804734,0.993562231759657
2,S0009,0,-1,0,0.510344827586207,0.561576354679803
2,S0009,0,0,0,0.474747474747475,0.581699346405229
2,S0009,0,1,0,0.458874458874459,0.66580310880829
2,S0009,0,-1,1,0.743455497382199,0.766917293233083
2,S0009,0,0,1,0.89873417721519,0.934426229508197
2,S0009,0,1,1,0.987129987129987,0.990353697749196
2,S0067,0,-1,0,0.556521739130435,0.582644628099174
2,S0067,0,0,0,0.454545454545455,0.668161434977579
2,S0067,0,1,0,0.539130434782609,0.815195071868583
2,S0067,0,-1,1,0.642424242424242,0.763157894736842
2,S0067,0,0,1,0.789719626168224,0.87719298245614
2,S0067,0,1,1,0.946058091286307,0.994301994301994
2,S0082,0,-1,0,0.496815286624204,0.577235772357724
2,S0082,0,0,0,0.642105263157895,0.664921465968586
2,S0082,0,1,0,0.572727272727273,0.774647887323944
2,S0082,0,-1,1,0.759776536312849,0.8
2,S0082,0,0,1,0.813278008298755,0.896551724137931
2,S0082,0,1,1,0.927616926503341,0.972508591065292
2,S0068,0,-1,0,0.525316455696203,0.567226890756303
2,S0068,0,0,0,0.528301886792453,0.551136363636364
2,S0068,0,1,0,0.561904761904762,0.697297297297297
2,S0068,0,-1,1,0.668539325842697,0.683673469387755
2,S0068,0,0,1,0.791304347826087,0.88125
2,S0068,0,1,1,0.958646616541353,0.979623824451411
2,S0066,0,-1,0,0.459459459459459,0.578073089700997
2,S0066,0,0,0,0.49618320610687,0.660714285714286
2,S0066,0,1,0,0.509090909090909,0.822530864197531
2,S0066,0,-1,1,0.788079470198676,0.857142857142857
2,S0066,0,0,1,0.917073170731707,0.9375
2,S0066,0,1,1,0.989821882951654,0.997206703910615
2,S0063,0,-1,0,0.477611940298507,0.542087542087542
2,S0063,0,0,0,0.482352941176471,0.685121107266436
2,S0063,0,1,0,0.487272727272727,0.757009345794392
2,S0063,0,-1,1,0.613861386138614,0.692307692307692
2,S0063,0,0,1,0.808764940239044,0.978723404255319
2,S0063,0,1,1,0.938608458390177,0.984555984555985
2,S0091,0,-1,0,0.521472392638037,0.492682926829268
2,S0091,0,0,0,0.519230769230769,0.526315789473684
2,S0091,0,1,0,0.448979591836735,0.524390243902439
2,S0091,0,-1,1,0.576576576576577,0.695652173913043
2,S0091,0,0,1,0.772727272727273,0.859375
2,S0091,0,1,1,0.962962962962963,0.977333333333333
2,S0087,0,-1,0,0.451612903225806,0.527522935779816
2,S0087,0,0,0,0.526315789473684,0.613636363636364
2,S0087,0,1,0,0.53968253968254,0.792792792792793
2,S0087,0,-1,1,0.756906077348066,0.779661016949153
2,S0087,0,0,1,0.888461538461538,0.931372549019608
2,S0087,0,1,1,0.978458049886621,0.988148148148148
2,S0092,0,-1,0,0.521739130434783,0.51004016064257
2,S0092,0,0,0,0.517006802721088,0.530054644808743
2,S0092,0,1,0,0.518828451882845,0.534351145038168
2,S0092,0,-1,1,0.542635658914729,0.586206896551724
2,S0092,0,0,1,0.788359788359788,0.836601307189543
2,S0092,0,1,1,0.947984395318596,0.955764075067024
2,S0095,0,-1,0,0.52970297029703,0.547528517110266
2,S0095,0,0,0,0.576576576576577,0.634920634920635
2,S0095,0,1,0,0.564625850340136,0.796296296296296
2,S0095,0,-1,1,0.653846153846154,0.823529411764706
2,S0095,0,0,1,0.822485207100592,0.912087912087912
2,S0095,0,1,1,0.952380952380952,0.977941176470588
2,S0090,0,-1,0,0.555555555555556,0.666666666666667
2,S0090,0,0,0,0.647058823529412,0.575
2,S0090,0,1,0,0.533333333333333,0.6
2,S0090,0,-1,1,0.763754045307443,0.765567765567766
2,S0090,0,0,1,0.818181818181818,0.841216216216216
2,S0090,0,1,1,0.92938733125649,0.942265795206972
2,045,1,-1,0,0.525641025641026,0.544776119402985
2,045,1,0,0,0.509803921568627,0.534246575342466
2,045,1,1,0,0.457731958762887,0.496197718631179
2,045,1,-1,1,0.833333333333333,0.911764705882353
2,045,1,0,1,0.977272727272727,0.991452991452991
2,045,1,1,1,0.996175908221797,1
2,047,1,-1,0,0.521929824561403,0.547058823529412
2,047,1,0,0,0.483720930232558,0.547368421052632
2,047,1,1,0,0.506796116504854,0.618008185538881
2,047,1,-1,1,0.745454545454545,0.898148148148148
2,047,1,0,1,0.88412017167382,0.94478527607362
2,047,1,1,1,0.942098914354644,0.963993453355156
2,048,1,-1,0,0.544642857142857,0.571428571428571
2,048,1,0,0,0.525641025641026,0.681818181818182
2,048,1,1,0,0.555555555555556,0.797642436149312
2,048,1,-1,1,0.678571428571429,0.828571428571429
2,048,1,0,1,0.821917808219178,0.854166666666667
2,048,1,1,1,0.931237721021611,0.975308641975309
2,049,1,-1,0,0.520833333333333,0.574712643678161
2,049,1,0,0,0.612903225806452,0.632352941176471
2,049,1,1,0,0.593582887700535,0.71044776119403
2,049,1,-1,1,0.722826086956522,0.783018867924528
2,049,1,0,1,0.830275229357798,0.923611111111111
2,049,1,1,1,0.94478527607362,0.970238095238095
2,050,1,-1,0,0.493975903614458,0.521505376344086
2,050,1,0,0,0.507936507936508,0.604519774011299
2,050,1,1,0,0.51219512195122,0.728
2,050,1,-1,1,0.591836734693878,0.645161290322581
2,050,1,0,1,0.728110599078341,0.805825242718447
2,050,1,1,1,0.894319682959049,0.961206896551724
2,051,1,-1,0,0.432432432432432,0.483870967741935
2,051,1,0,0,0.611650485436893,0.639269406392694
2,051,1,1,0,0.795,0.867617107942974
2,051,1,-1,1,0.611702127659574,0.670454545454545
2,051,1,0,1,0.793991416309013,0.923076923076923
2,051,1,1,1,0.967821782178218,0.996131528046422
2,052,1,-1,0,0.753138075313807,0.771217712177122
2,052,1,0,0,0.795121951219512,0.841509433962264
2,052,1,1,0,0.864661654135338,0.904214559386973
2,052,1,-1,1,0.926829268292683,1
2,052,1,0,1,1,1
2,052,1,1,1,0.990228013029316,1
2,054,1,-1,0,0.522292993630573,0.621908127208481
2,054,1,0,0,0.520408163265306,0.7265625
2,054,1,1,0,0.525,0.813353566009105
2,054,1,-1,1,0.776536312849162,0.849056603773585
2,054,1,0,1,0.899159663865546,0.9875
2,054,1,1,1,0.986979166666667,0.997134670487106
2,056,1,-1,0,0.5,0.558659217877095
2,056,1,0,0,0.551724137931034,0.701492537313433
2,056,1,1,0,0.5,0.779850746268657
2,056,1,-1,1,0.626923076923077,0.722772277227723
2,056,1,0,1,0.804780876494024,0.849315068493151
2,056,1,1,1,0.901985111662531,0.936842105263158
2,057,1,-1,0,0.460176991150442,0.516587677725118
2,057,1,0,0,0.493333333333333,0.632258064516129
2,057,1,1,0,0.692982456140351,0.818791946308725
2,057,1,-1,1,0.656626506024096,0.764705882352941
2,057,1,0,1,0.868292682926829,0.936
2,057,1,1,1,0.964187327823691,0.987084870848708
2,058,1,-1,0,0.39622641509434,0.505681818181818
2,058,1,0,0,0.523809523809524,0.545454545454545
2,058,1,1,0,0.6,0.773519163763066
2,058,1,-1,1,0.625441696113074,0.68125
2,058,1,0,1,0.736507936507937,0.854922279792746
2,058,1,1,1,0.960129310344828,0.994452149791956
2,059,1,-1,0,0.458015267175573,0.562231759656652
2,059,1,0,0,0.504347826086956,0.56441717791411
2,059,1,1,0,0.557620817843866,0.616519174041298
2,059,1,-1,1,0.795121951219512,0.893203883495146
2,059,1,0,1,0.886877828054299,0.936416184971098
2,059,1,1,1,0.976995940460081,0.991031390134529
2,060,1,-1,0,0.425,0.50761421319797
2,060,1,0,0,0.372093023255814,0.462585034013605
2,060,1,1,0,0.492063492063492,0.53156146179402
2,060,1,-1,1,0.628378378378378,0.741007194244604
2,060,1,0,1,0.733788395904437,0.862433862433862
2,060,1,1,1,0.881272949816401,0.926241134751773
2,061,1,-1,0,0.467532467532468,0.547244094488189
2,061,1,0,0,0.473214285714286,0.583732057416268
2,061,1,1,0,0.485714285714286,0.68836291913215
2,061,1,-1,1,0.725274725274725,0.792682926829268
2,061,1,0,1,0.839285714285714,0.937007874015748
2,061,1,1,1,0.903508771929825,0.946107784431138
2,062,1,-1,0,0.517857142857143,0.641592920353982
2,062,1,0,0,0.543478260869565,0.711111111111111
2,062,1,1,0,0.46195652173913,0.755148741418764
2,062,1,-1,1,0.803571428571429,0.888888888888889
2,062,1,0,1,0.936170212765957,0.98
2,062,1,1,1,0.981707317073171,0.990074441687345
