site,att,subjectID,lineLength,pCorrect,pSeen
0,-1,1,1,0.4375,0.0625
0,-1,1,2,0.541666666666667,0.104166666666667
0,-1,1,3,0.625,0.145833333333333
0,-1,1,4,0.625,0.25
0,-1,1,5,0.708333333333333,0.291666666666667
0,-1,1,6,0.6875,0.375
0,-1,1,7,0.6875,0.583333333333333
0,-1,2,1,0.446428571428571,0.142857142857143
0,-1,2,2,0.482142857142857,0.107142857142857
0,-1,2,3,0.589285714285714,0.303571428571429
0,-1,2,4,0.642857142857143,0.410714285714286
0,-1,2,5,0.660714285714286,0.5
0,-1,2,6,0.696428571428571,0.589285714285714
0,-1,2,7,0.857142857142857,0.785714285714286
0,-1,3,1,0.5625,0.0625
0,-1,3,2,0.541666666666667,0.1875
0,-1,3,3,0.479166666666667,0.25
0,-1,3,4,0.520833333333333,0.208333333333333
0,-1,3,5,0.541666666666667,0.4375
0,-1,3,6,0.666666666666667,0.458333333333333
0,-1,3,7,0.604166666666667,0.729166666666667
0,-1,4,1,0.458333333333333,0
0,-1,4,2,0.520833333333333,0.0208333333333333
0,-1,4,3,0.5625,0
0,-1,4,4,0.583333333333333,0
0,-1,4,5,0.645833333333333,0
0,-1,4,6,0.604166666666667,0.0625
0,-1,4,7,0.75,0.291666666666667
0,-1,5,1,0.5,0
0,-1,5,2,0.645833333333333,0.145833333333333
0,-1,5,3,0.645833333333333,0.333333333333333
0,-1,5,4,0.5625,0.3125
0,-1,5,5,0.708333333333333,0.583333333333333
0,-1,5,6,0.729166666666667,0.5625
0,-1,5,7,0.708333333333333,0.833333333333333
0,-1,6,1,0.45,0.05
0,-1,6,2,0.625,0.15
0,-1,6,3,0.575,0.075
0,-1,6,4,0.65,0.1
0,-1,6,5,0.625,0.15
0,-1,6,6,0.625,0.175
0,-1,6,7,0.7,0.25
0,-1,7,1,0.583333333333333,0.0833333333333333
0,-1,7,2,0.625,0.0208333333333333
0,-1,7,3,0.75,0.333333333333333
0,-1,7,4,0.604166666666667,0.25
0,-1,7,5,0.666666666666667,0.333333333333333
0,-1,7,6,0.625,0.3125
0,-1,7,7,0.604166666666667,0.541666666666667
0,-1,8,1,0.520833333333333,0.125
0,-1,8,2,0.4375,0.166666666666667
0,-1,8,3,0.666666666666667,0.270833333333333
0,-1,8,4,0.604166666666667,0.291666666666667
0,-1,8,5,0.625,0.25
0,-1,8,6,0.541666666666667,0.270833333333333
0,-1,8,7,0.8125,0.666666666666667
0,-1,9,1,0.4375,0
0,-1,9,2,0.5625,0
0,-1,9,3,0.604166666666667,0.125
0,-1,9,4,0.625,0.104166666666667
0,-1,9,5,0.541666666666667,0.145833333333333
0,-1,9,6,0.729166666666667,0.229166666666667
0,-1,9,7,0.75,0.125
0,-1,10,1,0.604166666666667,0.145833333333333
0,-1,10,2,0.520833333333333,0.0833333333333333
0,-1,10,3,0.5625,0.104166666666667
0,-1,10,4,0.604166666666667,0.125
0,-1,10,5,0.354166666666667,0.0625
0,-1,10,6,0.541666666666667,0.104166666666667
0,-1,10,7,0.729166666666667,0.1875
0,-1,11,1,0.538461538461538,0.282051282051282
0,-1,11,2,0.525,0.225
0,-1,11,3,0.512820512820513,0.153846153846154
0,-1,11,4,0.461538461538462,0.102564102564103
0,-1,11,5,0.538461538461538,0.307692307692308
0,-1,11,6,0.605263157894737,0.289473684210526
0,-1,11,7,0.625,0.4
0,-1,12,1,0.458333333333333,0.125
0,-1,12,2,0.5625,0.1875
0,-1,12,3,0.645833333333333,0.291666666666667
0,-1,12,4,0.583333333333333,0.375
0,-1,12,5,0.541666666666667,0.375
0,-1,12,6,0.770833333333333,0.479166666666667
0,-1,12,7,0.75,0.625
0,-1,13,1,0.541666666666667,0.104166666666667
0,-1,13,2,0.458333333333333,0.1875
0,-1,13,3,0.5625,0.25
0,-1,13,4,0.520833333333333,0.145833333333333
0,-1,13,5,0.479166666666667,0.1875
0,-1,13,6,0.5625,0.4375
0,-1,13,7,0.583333333333333,0.5
0,-1,14,1,0.6,0.05
0,-1,14,2,0.575,0.05
0,-1,14,3,0.45,0.05
0,-1,14,4,0.6,0.025
0,-1,14,5,0.525,0.05
0,-1,14,6,0.7,0.05
0,-1,14,7,0.5,0.15
0,-1,15,1,0.625,0.625
0,-1,15,2,0.729166666666667,0.708333333333333
0,-1,15,3,0.8125,0.8125
0,-1,15,4,0.791666666666667,0.791666666666667
0,-1,15,5,0.875,0.895833333333333
0,-1,15,6,0.708333333333333,0.916666666666667
0,-1,15,7,0.6875,0.9375
0,0,1,1,0.541666666666667,0.0208333333333333
0,0,1,2,0.645833333333333,0.0833333333333333
0,0,1,3,0.541666666666667,0.125
0,0,1,4,0.708333333333333,0.333333333333333
0,0,1,5,0.8125,0.5
0,0,1,6,0.895833333333333,0.604166666666667
0,0,1,7,0.979166666666667,0.979166666666667
0,0,2,1,0.607142857142857,0.125
0,0,2,2,0.714285714285714,0.267857142857143
0,0,2,3,0.839285714285714,0.410714285714286
0,0,2,4,0.75,0.625
0,0,2,5,0.946428571428571,0.696428571428571
0,0,2,6,0.910714285714286,0.803571428571429
0,0,2,7,0.982142857142857,0.946428571428571
0,0,3,1,0.458333333333333,0.0625
0,0,3,2,0.5625,0.125
0,0,3,3,0.541666666666667,0.375
0,0,3,4,0.729166666666667,0.479166666666667
0,0,3,5,0.666666666666667,0.645833333333333
0,0,3,6,0.729166666666667,0.729166666666667
0,0,3,7,0.8125,0.916666666666667
0,0,4,1,0.520833333333333,0
0,0,4,2,0.583333333333333,0.0208333333333333
0,0,4,3,0.666666666666667,0.125
0,0,4,4,0.791666666666667,0.229166666666667
0,0,4,5,0.8125,0.291666666666667
0,0,4,6,0.854166666666667,0.375
0,0,4,7,0.895833333333333,0.8125
0,0,5,1,0.520833333333333,0.0208333333333333
0,0,5,2,0.5625,0.229166666666667
0,0,5,3,0.791666666666667,0.479166666666667
0,0,5,4,0.854166666666667,0.5625
0,0,5,5,0.895833333333333,0.729166666666667
0,0,5,6,0.875,0.854166666666667
0,0,5,7,0.916666666666667,0.9375
0,0,6,1,0.475,0.025
0,0,6,2,0.725,0
0,0,6,3,0.6,0.075
0,0,6,4,0.6,0.2
0,0,6,5,0.825,0.225
0,0,6,6,0.775,0.375
0,0,6,7,0.975,0.525
0,0,7,1,0.604166666666667,0.0625
0,0,7,2,0.729166666666667,0.166666666666667
0,0,7,3,0.708333333333333,0.333333333333333
0,0,7,4,0.729166666666667,0.270833333333333
0,0,7,5,0.895833333333333,0.625
0,0,7,6,0.8125,0.645833333333333
0,0,7,7,0.875,0.916666666666667
0,0,8,1,0.5625,0.0625
0,0,8,2,0.5625,0.1875
0,0,8,3,0.604166666666667,0.291666666666667
0,0,8,4,0.75,0.4375
0,0,8,5,0.708333333333333,0.583333333333333
0,0,8,6,0.833333333333333,0.8125
0,0,8,7,0.9375,0.958333333333333
0,0,9,1,0.583333333333333,0.0416666666666667
0,0,9,2,0.583333333333333,0.0833333333333333
0,0,9,3,0.708333333333333,0.166666666666667
0,0,9,4,0.708333333333333,0.291666666666667
0,0,9,5,0.8125,0.4375
0,0,9,6,0.875,0.5
0,0,9,7,1,0.8125
0,0,10,1,0.625,0
0,0,10,2,0.604166666666667,0.0833333333333333
0,0,10,3,0.666666666666667,0.0625
0,0,10,4,0.6875,0.0208333333333333
0,0,10,5,0.6875,0.0625
0,0,10,6,0.854166666666667,0.229166666666667
0,0,10,7,0.958333333333333,0.520833333333333
0,0,11,1,0.575,0.1
0,0,11,2,0.675,0.5
0,0,11,3,0.725,0.4
0,0,11,4,0.625,0.4
0,0,11,5,0.625,0.425
0,0,11,6,0.8,0.7
0,0,11,7,0.725,0.675
0,0,12,1,0.583333333333333,0.0625
0,0,12,2,0.666666666666667,0.3125
0,0,12,3,0.791666666666667,0.520833333333333
0,0,12,4,0.833333333333333,0.708333333333333
0,0,12,5,0.916666666666667,0.854166666666667
0,0,12,6,0.854166666666667,0.833333333333333
0,0,12,7,1,0.958333333333333
0,0,13,1,0.520833333333333,0.0625
0,0,13,2,0.604166666666667,0.291666666666667
0,0,13,3,0.645833333333333,0.333333333333333
0,0,13,4,0.645833333333333,0.375
0,0,13,5,0.75,0.625
0,0,13,6,0.645833333333333,0.604166666666667
0,0,13,7,0.875,0.895833333333333
0,0,14,1,0.55,0
0,0,14,2,0.725,0.025
0,0,14,3,0.7,0.3
0,0,14,4,0.775,0.3
0,0,14,5,0.675,0.3
0,0,14,6,0.8,0.475
0,0,14,7,0.85,0.875
0,0,15,1,0.666666666666667,0.541666666666667
0,0,15,2,0.729166666666667,0.833333333333333
0,0,15,3,0.791666666666667,0.895833333333333
0,0,15,4,0.75,0.916666666666667
0,0,15,5,0.9375,1
0,0,15,6,0.854166666666667,1
0,0,15,7,0.9375,0.979166666666667
0,1,1,1,0.465277777777778,0.0277777777777778
0,1,1,2,0.715277777777778,0.138888888888889
0,1,1,3,0.819444444444444,0.305555555555556
0,1,1,4,0.861111111111111,0.541666666666667
0,1,1,5,0.9375,0.638888888888889
0,1,1,6,0.979166666666667,0.868055555555556
0,1,1,7,1,0.986111111111111
0,1,2,1,0.571428571428571,0.0654761904761905
0,1,2,2,0.761904761904762,0.303571428571429
0,1,2,3,0.832335329341317,0.526946107784431
0,1,2,4,0.93452380952381,0.744047619047619
0,1,2,5,0.964285714285714,0.785714285714286
0,1,2,6,0.988095238095238,0.946428571428571
0,1,2,7,1,0.982142857142857
0,1,3,1,0.541666666666667,0.111111111111111
0,1,3,2,0.652777777777778,0.340277777777778
0,1,3,3,0.763888888888889,0.486111111111111
0,1,3,4,0.854166666666667,0.625
0,1,3,5,0.916666666666667,0.784722222222222
0,1,3,6,0.902777777777778,0.916666666666667
0,1,3,7,0.895833333333333,0.986111111111111
0,1,4,1,0.576388888888889,0.0347222222222222
0,1,4,2,0.819444444444444,0.125
0,1,4,3,0.888888888888889,0.277777777777778
0,1,4,4,0.993055555555556,0.493055555555556
0,1,4,5,0.993055555555556,0.604166666666667
0,1,4,6,0.986111111111111,0.743055555555556
0,1,4,7,0.993055555555556,0.958333333333333
0,1,5,1,0.513888888888889,0.0208333333333333
0,1,5,2,0.770833333333333,0.270833333333333
0,1,5,3,0.888888888888889,0.486111111111111
0,1,5,4,0.930555555555556,0.763888888888889
0,1,5,5,0.972222222222222,0.826388888888889
0,1,5,6,0.993055555555556,0.965277777777778
0,1,5,7,0.993055555555556,0.986111111111111
0,1,6,1,0.633333333333333,0.116666666666667
0,1,6,2,0.775,0.25
0,1,6,3,0.941666666666667,0.316666666666667
0,1,6,4,0.925,0.375
0,1,6,5,0.975,0.5
0,1,6,6,0.991666666666667,0.558333333333333
0,1,6,7,0.991525423728814,0.822033898305085
0,1,7,1,0.673611111111111,0.0902777777777778
0,1,7,2,0.8125,0.263888888888889
0,1,7,3,0.888888888888889,0.472222222222222
0,1,7,4,0.916666666666667,0.618055555555556
0,1,7,5,0.979166666666667,0.75
0,1,7,6,0.965277777777778,0.868055555555556
0,1,7,7,0.986111111111111,0.979166666666667
0,1,8,1,0.569444444444444,0.0416666666666667
0,1,8,2,0.798611111111111,0.416666666666667
0,1,8,3,0.895833333333333,0.625
0,1,8,4,0.930555555555556,0.75
0,1,8,5,0.965277777777778,0.763888888888889
0,1,8,6,0.986111111111111,0.868055555555556
0,1,8,7,0.986111111111111,0.965277777777778
0,1,9,1,0.573426573426573,0.020979020979021
0,1,9,2,0.777777777777778,0.104166666666667
0,1,9,3,0.909722222222222,0.284722222222222
0,1,9,4,0.958333333333333,0.361111111111111
0,1,9,5,0.979166666666667,0.409722222222222
0,1,9,6,0.993055555555556,0.597222222222222
0,1,9,7,1,0.713286713286713
0,1,10,1,0.534722222222222,0.0138888888888889
0,1,10,2,0.708333333333333,0.0694444444444444
0,1,10,3,0.770833333333333,0.1875
0,1,10,4,0.854166666666667,0.152777777777778
0,1,10,5,0.902777777777778,0.236111111111111
0,1,10,6,0.9375,0.333333333333333
0,1,10,7,1,0.805555555555556
0,1,11,1,0.805084745762712,0.610169491525424
0,1,11,2,0.899159663865546,0.873949579831933
0,1,11,3,0.95,0.95
0,1,11,4,0.966386554621849,0.983193277310924
0,1,11,5,0.966386554621849,0.949579831932773
0,1,11,6,0.957983193277311,0.957983193277311
0,1,11,7,0.983050847457627,0.983050847457627
0,1,12,1,0.701388888888889,0.152777777777778
0,1,12,2,0.888888888888889,0.361111111111111
0,1,12,3,0.965277777777778,0.6875
0,1,12,4,0.958333333333333,0.8125
0,1,12,5,0.986111111111111,0.840277777777778
0,1,12,6,0.986111111111111,0.909722222222222
0,1,12,7,0.979166666666667,0.923611111111111
0,1,13,1,0.618055555555556,0.138888888888889
0,1,13,2,0.694444444444444,0.458333333333333
0,1,13,3,0.8125,0.763888888888889
0,1,13,4,0.902777777777778,0.909722222222222
0,1,13,5,0.958333333333333,0.958333333333333
0,1,13,6,0.958333333333333,0.965277777777778
0,1,13,7,0.979166666666667,0.986111111111111
0,1,14,1,0.641666666666667,0.025
0,1,14,2,0.783333333333333,0.183333333333333
0,1,14,3,0.891666666666667,0.316666666666667
0,1,14,4,0.958333333333333,0.55
0,1,14,5,0.958333333333333,0.616666666666667
0,1,14,6,0.975,0.775
0,1,14,7,0.983333333333333,0.933333333333333
0,1,15,1,0.611111111111111,0.638888888888889
0,1,15,2,0.881944444444444,0.861111111111111
0,1,15,3,0.930555555555556,0.944444444444444
0,1,15,4,0.972222222222222,0.993055555555556
0,1,15,5,0.986111111111111,0.965277777777778
0,1,15,6,1,0.993055555555556
0,1,15,7,1,0.979166666666667
